US,50.925957,-198.652310,-386.899998,-515.954808,-588.135521,-603.819462,-563.350139,-468.205727,-323.548606,-139.790547,70.672917,285.512661,370.682384,-0.000093
ES,-33.702231,7.957555,7.535365,9.217318,10.678094,11.868078,12.616092,12.790335,12.182091,10.722033,8.366852,5.325094,2.217742,-0.000246
EU,340.649992,460.014234,581.503003,659.455027,573.592590,517.103277,494.120803,506.184670,553.472850,626.801033,686.451569,458.778106,211.956218,-0.000103
JAP,469.263686,652.006502,770.273746,645.311454,551.683587,487.508967,458.323136,467.654650,516.243326,594.059926,690.519808,616.606654,284.871849,-0.000470
RUS,151.701442,218.361703,289.260800,262.721109,203.748587,158.731823,132.268322,128.157489,148.409621,188.554394,242.698915,294.205153,138.715968,-0.000155
EUR,42.952075,67.001874,98.054819,135.609850,178.215831,223.168591,259.855030,219.951441,202.705227,210.633474,242.859007,188.123689,92.156653,-0.000137
CHI,58.022705,88.784526,126.620276,170.203157,217.089720,264.234962,306.449933,312.795247,298.387267,307.535671,273.025686,189.812404,90.557562,-0.000015
IND,15.923602,25.998011,40.314884,59.314136,82.555520,108.682972,135.291359,158.562956,173.266082,173.524248,153.815183,112.286847,55.988512,-0.000014
MEST,83.812564,124.186802,170.330465,220.655193,271.524156,318.898080,358.014381,383.152012,387.786027,362.858885,301.849280,207.993292,98.539983,-0.000023
AFR,9.032919,14.934934,23.601776,35.529943,50.504827,67.528302,85.195269,101.143230,112.232238,113.976958,101.776669,74.510804,37.158313,0.028221
LAM,88.326915,134.452752,190.770055,255.407532,324.632933,393.274609,454.088078,497.141071,510.811738,484.293224,408.914111,286.021016,137.671439,0.201980
OHI,464.448403,483.206727,310.342164,170.182906,67.855262,8.008545,-6.751458,27.338319,109.013588,226.929664,368.371856,518.091765,283.236161,-0.000241
OTH,17.134814,28.304510,44.641152,66.799006,94.490513,126.169480,159.129637,188.722832,208.573516,211.037764,188.384620,138.288584,69.321072,0.123604
