US,67858665.815500,58771480.421432,49533790.624333,40800093.143228,32948795.172305,26046351.421252,20043188.005610,14887258.316181,10534267.770540,6954677.423810,4124211.965018,2031144.926633,672525.980051,-0.482731
ES,67336957.648078,58147451.282151,49003697.069107,40430631.156984,32685644.796565,25858263.389464,19910384.746876,14795835.443501,10473658.999683,6917425.994968,4103745.116633,2021688.988812,669487.924534,-154.760052
EU,67857839.652544,58770699.947567,49533155.759173,40799605.623451,32948425.764556,26046074.984957,20042983.905944,14887110.976250,10534164.619643,6954612.760589,4124177.256427,2031129.385409,672521.187142,-0.930889
JAP,67846135.477526,58762260.692027,49526720.420381,40794562.031787,32944566.524038,26043235.966680,20040929.209081,14885661.562734,10533180.490763,6954001.625835,4123845.134649,2030980.094289,672476.336792,-3.149596
RUS,67829236.744122,58750831.129164,49518883.144922,40789321.193728,32941039.050780,26040811.064750,20039278.984319,14884559.765045,10532467.654930,6953583.852253,4123634.350530,2030892.766668,672453.284329,-2.064148
EUR,67792503.413094,58729990.075594,49507273.588719,40782949.229055,32937538.199171,26038932.966797,20038334.952047,14884136.681401,10532321.133760,6953551.098636,4123633.996003,2030898.368272,672455.779572,-2.663561
CHI,67857193.072429,58770684.267024,49533356.934868,40799853.593229,32948662.720164,26046286.370370,20043157.716298,14887244.641656,10534260.663933,6954675.723794,4124213.557050,2031146.610484,672526.785231,-0.307156
IND,67846401.252391,58765026.644145,49530370.373232,40798275.395772,32947794.971320,26045793.403645,20042882.059038,14887095.465184,10534184.963637,6954638.423838,4124195.808934,2031139.500466,672524.822786,-0.441704
MEST,67849375.632014,58766640.618541,49531183.926295,40798661.841153,32947968.951049,26045867.916432,20042911.401451,14887106.388937,10534189.774701,6954637.403865,4124191.600309,2031136.225602,672523.533849,-0.432764
AFR,67854162.754121,58776786.937955,49542384.398537,40809083.134293,32956927.370727,26053307.814344,20049005.691347,14892055.003555,10538184.981066,6957848.979825,4126766.498657,2033197.813377,674172.809888,1318.677996
LAM,67900529.958173,58806432.057866,49562548.344983,40823523.476526,32967762.668463,26061658.990876,20055517.799467,14897175.246991,10542235.322645,6961074.003361,4129343.852786,2035259.151698,675821.999771,2638.132037
OHI,67847923.265052,58764526.893980,49529070.060156,40796778.748103,32946404.493660,26044611.695072,20041939.836210,14886383.801798,10533677.571090,6954311.702003,4124012.778504,2031055.130236,672498.979897,-1.639190
OTH,4.026052,6.791651,10.866974,16.399123,23.265596,30.977370,38.747658,45.382112,49.376464,49.060236,43.032730,31.275746,15.811245,0.104020
